objectid,filename,title,names,subject,genre,description,area/location,date,format,rights,language
fundliv01,https://www.loc.gov/item/2019271211/1923-02-08/ed-1/,Voice of the Knights of the Ku Klux Klan,"Minnesota Historical Society, Ku Klux Klan, North Start Klan no. 2, Knights of the Ku Klux Klan","KKK, Ku Klux Klan, Racism, Extremism, Fundamentalism",Newspaper,Two pages from the newspaper “Voice of the Knights of the Ku Klux Klan” discussing the KKK as an organization and defending their positions.,"Minneapolis, MN","February 8, 1923",Online image/JPG,Public Domain,English
fundliv02,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/LLAWTY000170008/PLEX?u=uiacic&sid=bookmark-PLEX&xid=ce46e32f&pg=1,"America for Christ: ""communism and God are incompatible"": radio message: by G. M. Robb","Reverend G.M. Robb, D.D., The Christian Amendment Movement","Politics, Christianity, Anti Communism, Christian Nationalism","Pamphlet, Radio transcript","A pamphlet containing a radio transcript making the argument that America, as a Christian nation, is incompatible with Communism","Pittsburgh, PA",1960,Online image/JPG,Walter Goldwater Radical Pamphlet Collection,English
fundliv03,https://link.gale.com/apps/doc/ORYTDJ735917278/PLEX?u=uiacic&sid=bookmark-PLEX&xid=c9e09a9a&pg=1 ,"""Down with the Constitution!"": Here! Don't hit him! No one was ever converted with a brick nor with a bayonet: written for the multitude by Martin J. Wade. American Citizen Publishing Company. ","Martin J. Wade, American Citizen Publishing Company","Politics, Anti Communism, Constitution","Pamphlet, Booklet","A writer describes his experience at a pro-communist, anti-constitutional rally before urging the audience to fight these ideas with words instead of violence","Iowa City, IA (written). Davenport, IA (published).",1924,Online image/JPG,Walter Goldwater Radical Pamphlet Collection,English
fundliv04,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/XYINNA434106561/PLEX?u=uiacic&sid=bookmark-PLEX&xid=54202a4e&pg=1,Did your congressman vote to aid the communists? How Democratic members of Congress voted on five key bills in 1965. Know Your Congressman’s Record Before You Vote!,"Phoebe Courtney, Kent Courtney, Independent American","Politics, Congress, Anti Communism, Voting",Pamphlet,A pamphlet containing a list of American Congressmen's voting history on five bills which supposedly aided communists,"New Orleans, LA",1965,Online image/JPG,Walter Goldwater Radical Pamphlet Collection,English
fundliv05,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/APJFQW131844510/PLEX?u=uiacic&sid=bookmark-PLEX&xid=e677b41e&pg=1,Ku Klux Klan in Michigan,"Ku Klux Klan, Michigan State","KKK, Ku Klux Klan, Racism, Extremism, Fundamentalism",Newspaper,A collection of newspaper articles over KKK activity in Michigan from 1926 to 2000,Michigan/MI,1926 - 2000,Online image/JPG,The American Radicalism Collection,English
fundliv06,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/AZUFCF865608957/PLEX?u=uiacic&sid=bookmark-PLEX&xid=dfdb3306&pg=1,"Ku Klux Klan Rally: Lansing, Michigan, April 23, 1994.","Ku Klux Klan, Michigan State, Mary E Iorio, John B Albright","KKK, Ku Klux Klan, Racism, Extremism, Fundamentalism",Newspaper,"A newspaper article discussing the Michigan Ku Klux Klan leader's proposal for a meeting in Lansing, Michigan","Lansing, MI","April 23, 1994",Online image/JPG,The American Radicalism Collection,English
fundliv07,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/BCQNPM784947481/PLEX?u=uiacic&sid=bookmark-PLEX&xid=e45fc3fd&pg=7,Pro-Life Movement,Pro Life Movement,"Abortion, Pro Life, Women, Fundamentalism",Newspaper,A collection of articles discussing the state of pro life events and organization around the US from 1971 to 2001,United States,1971 - 2001,Online image/JPG,The American Radicalism Collection,English
fundliv08,https://www.loc.gov/item/2006636636/,"Lynchings by states and counties in the United States, 1900-1931 : (data from Research Department, Tuskegee Institute) ; cleartype county outline map of the United States","American Map Company, Tuskegee Institute","Racism, Lynching",Map,A map depicting areas that lynchings occurred in the United States from 1900 to 1931,United States,1931,Online image/JPG,Public Domain,English
fundliv09,https://www.loc.gov/item/lcwaN0021492/ ,American Nazi Party,"Nazi Party, American Nazi Party","Nazism, Antisemitism, Racism, 9/11, Terrorism",Website,"Archived webpages from the American Nazi Party's website, particularly focused on the party's reaction to the 9/11 terrorist attacks",United States,2001,Website,Public Domain,English
fundliv10,https://www.loc.gov/item/2005691930/ ,Harlemites in anti-Nazi parade,"Nazi Party, Joe Louis, Max Schmeling","Nazism, Anti Nazism, Harlem, New York, Protest",Photo,An image of Harlem residents celebrating Joe Louis's victory against Max Schmeling of Germany at Yankee Stadium,"Harlem, New York City, NY","June 22, 1938",Online image/JPG,Public Domain,English
fundliv11,https://www.loc.gov/item/2025661154/ ,Matthew Dallek: How the John Birch Society Radicalized the American Right,"Matthew Dallek, John Birch Society, NAACP","Anti Communism, Christianity, Economics, Politics, Christian Nationalism",Video,"A discussion with Matthew Dallek, author of ""Birchers: How the John Birch Society Radicalized the American Right,"" talking on the John Birch Society's impact on America politics",United States,"March 23rd, 2023",Video,Public Domain,English
fundliv12,https://go-gale-com.proxy.lib.uiowa.edu/ps/internalResource?p=PLEX&u=uiacic&v=2.1&it=r&id=GALE%7CBNKYQN390207054,David Duke,"David Duke, NAAWAP, Ku Klux Klan","KKK, Ku Klux Klan, Racism, Politics, Nazism","Newspaper, Misc.","A collection of documents detailing the activities of David Duke, former Supreme Wizard of the KKK and member of the Louisana House of Representatives","United States, Lousiana ","May 31, 1990 - September 25, 1996",Online image/JPG,The American Radicalism Collection,English
fundliv13,https://go-gale-com.proxy.lib.uiowa.edu/ps/retrieve.do?tabID=Monographs&resultListType=RESULT_LIST&searchResultsType=SingleTab&retrievalId=8d5f9ca7-d921-497f-97f7-716fae925118&hitCount=2789&gtmSearchId=6f5041d1-8229-46c8-813c-c3ca52689d70&searchType=AdvancedSearchForm&currentPosition=8&docId=GALE%7CMOXFIT540919842&docType=Monograph&sort=Relevance&contentSegment=ZPEY&prodId=PLEX&pageNum=1&contentSet=GALE%7CMOXFIT540919842&searchId=R1&userGroupName=uiacic&inPS=true,How odd of God to choose the rats,Liberty Bell Publications,"Antisemitism, Nazism, Racism",Pamphlet,A pamphlet and political cartoon depicting Jewish people as rats conspiring for world domination ,"Reed, WV",197?,Online image/JPG,Walter Goldwater Radical Pamphlet Collection,English
fundliv14,https://go-gale-com.proxy.lib.uiowa.edu/ps/retrieve.do?tabID=Monographs&resultListType=RESULT_LIST&searchResultsType=SingleTab&retrievalId=03af8e23-65d0-4c03-ad83-b7ed6f1994f5&hitCount=2789&gtmSearchId=2d2b818f-96ce-42fa-b861-7ef0e0e92895&searchType=AdvancedSearchForm&currentPosition=32&docId=GALE%7CIOZBMR391609604&docType=Monograph&sort=Relevance&contentSegment=ZPEY&prodId=PLEX&pageNum=2&contentSet=GALE%7CIOZBMR391609604&searchId=R1&userGroupName=uiacic&inPS=true,God's call to race: by Wesley A. Swift,"Wesley A. Swift, Church of Jesus Christ Christian, Aryan Nations","Christianity, Racism, Scientific Racism","Transcript, Sermon","A transcript of a sermon written by Wesley A. Swift using scripture and scientific racism to differentiate races, particularly African Americans, from white people","Hayden Lake, ID",198?,Online image/JPG,Walter Goldwater Radical Pamphlet Collection,English
fundliv15,https://go-gale-com.proxy.lib.uiowa.edu/ps/retrieve.do?tabID=Monographs&resultListType=RESULT_LIST&searchResultsType=SingleTab&retrievalId=e5c493c6-d631-4512-b351-9164973db7a3&hitCount=2789&gtmSearchId=2d2b818f-96ce-42fa-b861-7ef0e0e92895&searchType=AdvancedSearchForm&currentPosition=39&docId=GALE%7CFWHSQI473642240&docType=Monograph&sort=Relevance&contentSegment=ZPEY&prodId=PLEX&pageNum=2&contentSet=GALE%7CFWHSQI473642240&searchId=R1&userGroupName=uiacic&inPS=true,Here is proof that the N.A.A.C.P. is an alien-controlled organization!,"Keep America Committee, NAACP, Albert B. Spingarn, Thurgood Marshall","Racism, Conspiracy, Antisemitism",Pamphlet,"A pamphlet describing the president of the NAACP, Albert B. Springarn, as an alien, implying the theory that a Jewish elite is behind racial advancement ","Los Angeles, CA",1960,Online image/JPG,Walter Goldwater Radical Pamphlet Collection,English
